ai	anycastdns1-cz.nic.ai.	archives/ai/anycastdns1-cz.nic.ai.zone
arpa	b.ns.arpa.	archives/arpa/b.ns.arpa.zone
bb	ns5.nic.bb.	archives/bb/ns5.nic.bb.zone
bn	ns2.bnnic.bn.	archives/bn/ns2.bnnic.bn.zone
bw	dns1.nic.net.bw.	archives/bw/dns1.nic.net.bw.zone
cx	ns2.anycastdns.cz.	archives/cx/ns2.anycastdns.cz.zone
ec	ns2.anycastdns.cz.	archives/ec/ns2.anycastdns.cz.zone
er	sawanew.noc.net.er.	archives/er/sawanew.noc.net.er.zone
fj	ns2.fj.	archives/fj/ns2.fj.zone
gh	ns2.nic.gh.	archives/gh/ns2.nic.gh.zone
gl	ns2.anycastdns.cz.	archives/gl/ns2.anycastdns.cz.zone
gn	ns1.gn.	archives/gn/ns1.gn.zone
gp	ns2.nic.gp.	archives/gp/ns2.nic.gp.zone
jm	ns.utechjamaica.edu.jm.	archives/jm/ns.utechjamaica.edu.jm.zone
kh	ns.camnet.com.kh.	archives/kh/ns.camnet.com.kh.zone
mp	ns1.nic.mp.	archives/mp/ns1.nic.mp.zone
ms	ns2.anycastdns.cz.	archives/ms/ns2.anycastdns.cz.zone
mw	domwe.sdn.mw.	archives/mw/domwe.sdn.mw.zone
nf	ns2.anycastdns.cz.	archives/nf/ns2.anycastdns.cz.zone
ni	ns.ideay.net.ni.	archives/ni/ns.ideay.net.ni.zone
ps	ns1.pnina.ps.	archives/ps/ns1.pnina.ps.zone
sb	ns2.anycastdns.cz.	archives/sb/ns2.anycastdns.cz.zone
sl	ns2.neoip.com.	archives/sl/ns2.neoip.com.zone
td	anycastdns2.nic.td.	archives/td/anycastdns2.nic.td.zone
tj	ns2.tojikiston.com.	archives/tj/ns2.tojikiston.com.zone
xn--54b7fta0cc	bayanno.btcl.net.bd.	archives/xn--54b7fta0cc/bayanno.btcl.net.bd.zone
xn--fzc2c9e2c	ns-c.nic.lk.	archives/xn--fzc2c9e2c/ns-c.nic.lk.zone
xn--wgbh1c	ns1.dotmasr.eg.	archives/xn--wgbh1c/ns1.dotmasr.eg.zone
xn--xkc2al3hye2a	ns-l.nic.lk.	archives/xn--xkc2al3hye2a/ns-l.nic.lk.zone
xn--ygbi2ammx	Bilal.pnina.ps.	archives/xn--ygbi2ammx/Bilal.pnina.ps.zone
